11:30:40 Total DISK READ :       0.00 B/s | Total DISK WRITE :       0.00 B/s
11:30:40 Actual DISK READ:       0.00 B/s | Actual DISK WRITE:       0.00 B/s
    TIME  TID  PRIO  USER     DISK READ  DISK WRITE  SWAPIN      IO    COMMAND
11:30:55 Total DISK READ :     543.76 B/s | Total DISK WRITE :    1040.26 K/s
11:30:55 Actual DISK READ:     543.76 B/s | Actual DISK WRITE:    1626.23 K/s
    TIME  TID  PRIO  USER     DISK READ  DISK WRITE  SWAPIN      IO    COMMAND
11:30:55  7394 be/4 chamod    543.76 B/s    2.92 K/s  0.00 %  0.12 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
11:30:55  1036 be/4 mysql       0.00 B/s    0.00 B/s  0.00 %  0.10 % mysqld
11:30:55  1085 be/4 mysql       0.00 B/s    4.78 K/s  0.00 %  0.07 % mysqld
11:30:55  1043 be/4 mysql       0.00 B/s    0.00 B/s  0.00 %  0.06 % mysqld
11:30:55  1068 be/4 root        0.00 B/s    0.00 B/s  0.00 %  0.04 % Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
11:30:55  2618 be/4 root        0.00 B/s    0.00 B/s  0.00 %  0.02 % [kworker/u16:0]
11:30:55  1042 be/4 mysql       0.00 B/s    0.00 B/s  0.00 %  0.00 % mysqld
11:30:55  1091 be/4 mysql       0.00 B/s    2.92 K/s  0.00 %  0.00 % mysqld
11:30:55  4497 be/4 mysql       0.00 B/s    2.92 K/s  0.00 %  0.00 % mysqld
11:30:55  7597 be/4 chamod      0.00 B/s  152.40 K/s  0.00 %  0.00 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
11:30:55  1089 be/4 mysql       0.00 B/s 1087.52 B/s  0.00 %  0.00 % mysqld
11:30:55  6356 be/4 mysql       0.00 B/s  271.88 B/s  0.00 %  0.00 % mysqld
11:30:55  7209 be/4 chamod      0.00 B/s  271.88 B/s  0.00 %  0.00 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
11:30:55  7213 be/4 chamod      0.00 B/s  271.88 B/s  0.00 %  0.00 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
11:30:55  7214 be/4 chamod      0.00 B/s  271.88 B/s  0.00 %  0.00 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
11:30:55  7218 be/4 chamod      0.00 B/s  543.76 B/s  0.00 %  0.00 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
11:30:55  7479 be/4 chamod      0.00 B/s   29.74 K/s  0.00 %  0.00 % java -Xbootclasspath/a: -Xms2g -Xmx4g -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/logs/heap-dump.hprof -Dcom.sun.management.jmxremote -classpath /home/chamod/Softwares/jdk1.8.0_131/lib/tools.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/org.wso2.carbon.bootstrap-4.4.11.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tcpmon-1.0.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/bin/tomcat-juli-7.0.73.jar:/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/commons-lang-2.6.0.wso2v1.jar -Djava.endorsed.dirs=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/jre/lib/endorsed:/home/chamod/Softwares/jdk1.8.0_131/lib/endorsed -Djava.io.tmpdir=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/tmp -Dcatalina.base=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/tomcat -Dwso2.server.standalone=true -Dcarbon.registry.root=/ -Djava.command=/home/chamod/Softwares/jdk1.8.0_131/bin/java -Dcarbon.home=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dcarbon.config.dir.path=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Djava.util.logging.config.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf/etc/logging-bridge.properties -Dcomponents.repo=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/components/plugins -Dconf.location=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/repository/conf -Dcom.atomikos.icatch.file=/home/chamod/Softwares/wso2/wso2am-analytics-2.1.1-SNAPSHOT/lib/transactions.properties -Dcom.atomikos.icatch.hide_init_file_path=true -Dorg.apache.jasper.compiler.Parser.STRICT_QUOTE_ESCAPING=false -Dorg.apache.jasper.runtime.BodyContentImpl.LIMIT_BUFFER=true -Dcom.sun.jndi.ldap.connect.pool.authentication=simple -Dcom.sun.jndi.ldap.connect.pool.timeout=3000 -Dorg.terracotta.quartz.skipUpdateCheck=true -Djava.security.egd=file:/dev/./urandom -Dfile.encoding=UTF8 -Djava.net.preferIPv4Stack=true -Dcom.ibm.cacheLocalHost=true org.wso2.carbon.bootstrap.Bootstrap
